"MUN_COD";"MUN_NOME";"Ano";"razcito"
310150;"Além Paraíba";"2008";64.1
310150;"Além Paraíba";"2009";77.3
310150;"Além Paraíba";"2010";64.5
310150;"Além Paraíba";"2011";60.7
310150;"Além Paraíba";"2012";50.8
310150;"Além Paraíba";"2013";63
310150;"Além Paraíba";"2014";49.9
310150;"Além Paraíba";"2015";50.8
310150;"Além Paraíba";"2016";31
310150;"Além Paraíba";"2017";51.4
310150;"Além Paraíba";"2018";33.9
310280;"Andrelândia";"2008";89.5
310280;"Andrelândia";"2009";78.8
310280;"Andrelândia";"2010";85.4
310280;"Andrelândia";"2011";79.9
310280;"Andrelândia";"2012";66.4
310280;"Andrelândia";"2013";73.6
310280;"Andrelândia";"2014";79.3
310280;"Andrelândia";"2015";59
310280;"Andrelândia";"2016";57.1
310280;"Andrelândia";"2017";48.6
310280;"Andrelândia";"2018";48.1
310310;"Antônio Prado de Minas";"2008";82
310310;"Antônio Prado de Minas";"2009";100
310310;"Antônio Prado de Minas";"2010";100
310310;"Antônio Prado de Minas";"2011";100
310310;"Antônio Prado de Minas";"2012";87.7
310310;"Antônio Prado de Minas";"2013";90.9
310310;"Antônio Prado de Minas";"2014";94.3
310310;"Antônio Prado de Minas";"2015";100
310310;"Antônio Prado de Minas";"2016";59
310310;"Antônio Prado de Minas";"2017";99.8
310310;"Antônio Prado de Minas";"2018";100
310330;"Aracitaba";"2008";46.9
310330;"Aracitaba";"2009";89.1
310330;"Aracitaba";"2010";50.5
310330;"Aracitaba";"2011";100
310330;"Aracitaba";"2012";93.8
310330;"Aracitaba";"2013";100
310330;"Aracitaba";"2014";100
310330;"Aracitaba";"2015";91.1
310330;"Aracitaba";"2016";41.6
310330;"Aracitaba";"2017";43.7
310330;"Aracitaba";"2018";100
310360;"Arantina";"2008";86.1
310360;"Arantina";"2009";100
310360;"Arantina";"2010";89.1
310360;"Arantina";"2011";79.1
310360;"Arantina";"2012";71.8
310360;"Arantina";"2013";100
310360;"Arantina";"2014";88.6
310360;"Arantina";"2015";79.6
310360;"Arantina";"2016";88.4
310360;"Arantina";"2017";100
310360;"Arantina";"2018";97.3
310440;"Argirita";"2008";95.8
310440;"Argirita";"2009";90
310440;"Argirita";"2010";72.7
310440;"Argirita";"2011";67
310440;"Argirita";"2012";73.9
310440;"Argirita";"2013";76.2
310440;"Argirita";"2014";45.9
310440;"Argirita";"2015";78
310440;"Argirita";"2016";51.3
310440;"Argirita";"2017";100
310440;"Argirita";"2018";23.2
310460;"Astolfo Dutra";"2008";62.4
310460;"Astolfo Dutra";"2009";86.9
310460;"Astolfo Dutra";"2010";80
310460;"Astolfo Dutra";"2011";69.8
310460;"Astolfo Dutra";"2012";67.6
310460;"Astolfo Dutra";"2013";65.3
310460;"Astolfo Dutra";"2014";53.7
310460;"Astolfo Dutra";"2015";52.9
310460;"Astolfo Dutra";"2016";23.5
310460;"Astolfo Dutra";"2017";53
310460;"Astolfo Dutra";"2018";34.1
310550;"Barão de Monte Alto";"2008";95.2
310550;"Barão de Monte Alto";"2009";100
310550;"Barão de Monte Alto";"2010";100
310550;"Barão de Monte Alto";"2011";78.9
310550;"Barão de Monte Alto";"2012";52.9
310550;"Barão de Monte Alto";"2013";71.1
310550;"Barão de Monte Alto";"2014";67.4
310550;"Barão de Monte Alto";"2015";47.4
310550;"Barão de Monte Alto";"2016";32.3
310550;"Barão de Monte Alto";"2017";59.1
310550;"Barão de Monte Alto";"2018";33.2
310610;"Belmiro Braga";"2008";56
310610;"Belmiro Braga";"2009";64.4
310610;"Belmiro Braga";"2010";70.4
310610;"Belmiro Braga";"2011";61.4
310610;"Belmiro Braga";"2012";64
310610;"Belmiro Braga";"2013";100
310610;"Belmiro Braga";"2014";100
310610;"Belmiro Braga";"2015";97.5
310610;"Belmiro Braga";"2016";91.3
310610;"Belmiro Braga";"2017";66.3
310610;"Belmiro Braga";"2018";71.5
310680;"Bias Fortes";"2008";63.7
310680;"Bias Fortes";"2009";75.2
310680;"Bias Fortes";"2010";91.9
310680;"Bias Fortes";"2011";61.9
310680;"Bias Fortes";"2012";56.5
310680;"Bias Fortes";"2013";49.5
310680;"Bias Fortes";"2014";68.9
310680;"Bias Fortes";"2015";67.5
310680;"Bias Fortes";"2016";36
310680;"Bias Fortes";"2017";47.3
310680;"Bias Fortes";"2018";72.9
310690;"Bicas";"2008";80.3
310690;"Bicas";"2009";100
310690;"Bicas";"2010";93.2
310690;"Bicas";"2011";73.3
310690;"Bicas";"2012";70.6
310690;"Bicas";"2013";77.7
310690;"Bicas";"2014";75.1
310690;"Bicas";"2015";32.7
310690;"Bicas";"2016";68
310690;"Bicas";"2017";39.9
310690;"Bicas";"2018";52.5
310720;"Bocaina de Minas";"2008";38.2
310720;"Bocaina de Minas";"2009";2.7
310720;"Bocaina de Minas";"2010";50.5
310720;"Bocaina de Minas";"2011";46
310720;"Bocaina de Minas";"2012";28.9
310720;"Bocaina de Minas";"2013";58
310720;"Bocaina de Minas";"2014";55.3
310720;"Bocaina de Minas";"2015";53.2
310720;"Bocaina de Minas";"2016";39.1
310720;"Bocaina de Minas";"2017";46.2
310720;"Bocaina de Minas";"2018";54.1
310750;"Bom Jardim de Minas";"2008";82.1
310750;"Bom Jardim de Minas";"2009";100
