"MUN_COD";"MUN_NOME";"Ano";"razmam"
310150;"Além Paraíba";"2008";4.3
310150;"Além Paraíba";"2009";15.3
310150;"Além Paraíba";"2010";13.9
310150;"Além Paraíba";"2011";1
310150;"Além Paraíba";"2012";2.9
310150;"Além Paraíba";"2013";56.7
310150;"Além Paraíba";"2014";66.4
310150;"Além Paraíba";"2015";65.7
310150;"Além Paraíba";"2016";60.2
310150;"Além Paraíba";"2017";46.9
310150;"Além Paraíba";"2018";44.9
310280;"Andrelândia";"2008";0
310280;"Andrelândia";"2009";2.9
310280;"Andrelândia";"2010";13.5
310280;"Andrelândia";"2011";20.4
310280;"Andrelândia";"2012";29
310280;"Andrelândia";"2013";43.6
310280;"Andrelândia";"2014";100
310280;"Andrelândia";"2015";24.7
310280;"Andrelândia";"2016";50.7
310280;"Andrelândia";"2017";24.4
310280;"Andrelândia";"2018";29.4
310310;"Antônio Prado de Minas";"2008";5.8
310310;"Antônio Prado de Minas";"2009";100
310310;"Antônio Prado de Minas";"2010";30.7
310310;"Antônio Prado de Minas";"2011";68.5
310310;"Antônio Prado de Minas";"2012";76.8
310310;"Antônio Prado de Minas";"2013";100
310310;"Antônio Prado de Minas";"2014";95.9
310310;"Antônio Prado de Minas";"2015";93.5
310310;"Antônio Prado de Minas";"2016";75.2
310310;"Antônio Prado de Minas";"2017";34.8
310310;"Antônio Prado de Minas";"2018";97.1
310330;"Aracitaba";"2008";35.2
310330;"Aracitaba";"2009";53.4
310330;"Aracitaba";"2010";73.4
310330;"Aracitaba";"2011";82.2
310330;"Aracitaba";"2012";78.8
310330;"Aracitaba";"2013";85.1
310330;"Aracitaba";"2014";94.8
310330;"Aracitaba";"2015";89.3
310330;"Aracitaba";"2016";90.9
310330;"Aracitaba";"2017";98.2
310330;"Aracitaba";"2018";100
310360;"Arantina";"2008";0.8
310360;"Arantina";"2009";26
310360;"Arantina";"2010";28.1
310360;"Arantina";"2011";37.4
310360;"Arantina";"2012";39.6
310360;"Arantina";"2013";48.6
310360;"Arantina";"2014";59.6
310360;"Arantina";"2015";100
310360;"Arantina";"2016";38.2
310360;"Arantina";"2017";30.4
310360;"Arantina";"2018";43
310440;"Argirita";"2008";4.4
310440;"Argirita";"2009";3.7
310440;"Argirita";"2010";36.7
310440;"Argirita";"2011";19.3
310440;"Argirita";"2012";46.3
310440;"Argirita";"2013";51.5
310440;"Argirita";"2014";39.6
310440;"Argirita";"2015";71.3
310440;"Argirita";"2016";42
310440;"Argirita";"2017";31.2
310440;"Argirita";"2018";93
310460;"Astolfo Dutra";"2008";13.1
310460;"Astolfo Dutra";"2009";36.5
310460;"Astolfo Dutra";"2010";47.6
310460;"Astolfo Dutra";"2011";28.1
310460;"Astolfo Dutra";"2012";36.2
310460;"Astolfo Dutra";"2013";35.3
310460;"Astolfo Dutra";"2014";85.2
310460;"Astolfo Dutra";"2015";27.9
310460;"Astolfo Dutra";"2016";28.4
310460;"Astolfo Dutra";"2017";77.5
310460;"Astolfo Dutra";"2018";15.2
310550;"Barão de Monte Alto";"2008";12.5
310550;"Barão de Monte Alto";"2009";46
310550;"Barão de Monte Alto";"2010";23.3
310550;"Barão de Monte Alto";"2011";38.8
310550;"Barão de Monte Alto";"2012";41.8
310550;"Barão de Monte Alto";"2013";59
310550;"Barão de Monte Alto";"2014";46.5
310550;"Barão de Monte Alto";"2015";77.7
310550;"Barão de Monte Alto";"2016";48.8
310550;"Barão de Monte Alto";"2017";40.3
310550;"Barão de Monte Alto";"2018";30
310610;"Belmiro Braga";"2008";31.5
310610;"Belmiro Braga";"2009";26.9
310610;"Belmiro Braga";"2010";34.7
310610;"Belmiro Braga";"2011";40.3
310610;"Belmiro Braga";"2012";54.2
310610;"Belmiro Braga";"2013";64.4
310610;"Belmiro Braga";"2014";78.9
310610;"Belmiro Braga";"2015";58.7
310610;"Belmiro Braga";"2016";59.1
310610;"Belmiro Braga";"2017";77.9
310610;"Belmiro Braga";"2018";51.1
310680;"Bias Fortes";"2008";1.6
310680;"Bias Fortes";"2009";1.1
310680;"Bias Fortes";"2010";26.1
310680;"Bias Fortes";"2011";23.3
310680;"Bias Fortes";"2012";26.7
310680;"Bias Fortes";"2013";25.7
